,Date,Key,MinimumTemperature,MaximumTemperature,NewMild,NewSevere,NewCritical,CurrentlyMild,CurrentlySevere,CurrentlyCritical,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential,ConfirmedRateChange,DeathsRateChange,MinimumTemperature_cat,MaximumTemperature_cat,RetailAndRecreation_cat,GroceryAndPharmacy_cat,Parks_cat,TransitStations_cat,Workplaces_cat,Residential_cat,ConfirmedRateChange_cat,NewMild_cat,NewSevere_cat,NewCritical_cat,CurrentlyMild_cat,CurrentlySevere_cat,CurrentlyCritical_cat,DeathsRateChange_cat
37,2020-02-28,US_WA,-1.2,7.0,6.0,1.0,0.0,6.0,1.0,0.0,7.0,2.0,31.0,6.0,3.0,-2.0,3.5,1.0,1.0,0.0,4,3,3,4,4,0,4,0,0,0,0,0,0,4
38,2020-02-29,US_WA,-5.1,0.6,7.0,1.0,0.0,13.0,2.0,1.0,7.0,7.0,31.0,5.0,2.0,-1.0,1.0,0.25,0.0,0.0,4,3,3,4,4,0,4,0,0,0,0,0,0,3
39,2020-03-01,US_MI,-8.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,57.0,23.0,5.0,-2.0,9.0,0.0,0.0,0.0,4,4,4,4,4,0,4,0,0,0,0,0,0,0
40,2020-03-01,US_RI,-7.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,-3.0,9.0,5.0,-1.0,1.0,0.0,0.0,0.0,4,3,1,4,4,0,4,0,0,0,0,0,0,0
41,2020-03-01,US_WA,-5.4,0.6,10.0,2.0,1.0,22.0,4.0,1.0,18.0,10.0,27.0,9.0,2.0,-1.0,0.6666666666666666,0.6,0.0,0.0,4,4,3,4,4,0,4,0,0,0,0,0,0,4
42,2020-03-02,US_MI,-2.8,9.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,28.0,5.0,2.0,-1.0,1.0,0.0,1.0,1.0,4,3,3,4,4,0,4,0,0,0,0,0,0,0
43,2020-03-02,US_RI,-6.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,34.0,-1.0,3.0,-1.0,0.0,0.0,0.0,0.0,4,3,3,3,4,0,0,0,0,0,0,0,0,0
44,2020-03-02,US_WA,-2.5,2.4,3.0,1.0,0.0,26.0,5.0,2.0,4.0,8.0,-7.0,-3.0,2.0,0.0,0.13333333333333333,0.375,1.0,0.0,3,3,1,3,4,0,3,0,0,0,0,0,0,3
45,2020-03-03,US_MI,-5.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,14.0,8.0,1.0,-1.0,0.8888888888888888,0.0,0.0,1.0,4,3,2,4,4,0,4,0,0,0,0,0,0,0
46,2020-03-03,US_RI,-1.7,13.3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,61.0,2.0,2.0,-1.0,1.0,0.0,1.0,2.0,4,3,4,4,4,0,4,0,0,0,0,0,0,0
47,2020-03-03,US_WA,0.9,3.0,19.0,4.0,1.0,45.0,8.0,3.0,6.0,11.0,23.0,-2.0,-1.0,1.0,0.7058823529411765,0.2727272727272727,2.0,0.0,4,4,3,3,3,1,4,0,0,0,0,0,0,3
48,2020-03-04,US_AZ,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,17.0,7.0,2.0,-1.0,2.0,0.0,,,4,3,2,4,4,0,4,0,0,0,0,0,0,0
49,2020-03-04,US_CA,5.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,15.0,-1.0,2.0,0.0,53.0,0.0,3.0,4.0,3,3,2,3,4,0,4,0,0,0,0,0,0,0
50,2020-03-04,US_FL,16.1,31.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,14.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,4,3,2,3,4,0,4,0,0,0,0,0,0,0
51,2020-03-04,US_GA,12.2,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-19.0,-2.0,0.0,1.0,2.0,0.0,4.0,2.0,3,2,0,3,3,1,4,0,0,0,0,0,0,0
52,2020-03-04,US_IL,-2.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,28.0,4.0,2.0,-1.0,4.0,0.0,1.0,2.0,4,4,3,4,4,0,4,0,0,0,0,0,0,0
53,2020-03-04,US_MI,-2.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,22.0,9.0,1.0,-1.0,0.5294117647058824,0.0,1.0,0.0,4,3,3,4,4,0,4,0,0,0,0,0,0,0
54,2020-03-04,US_NC,7.8,15.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,14.0,3.0,2.0,-1.0,1.0,0.0,3.0,2.0,4,3,2,4,4,0,4,0,0,0,0,0,0,0
55,2020-03-04,US_NH,1.1,17.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,-4.0,7.0,2.0,0.0,2.0,0.0,2.0,3.0,3,3,1,4,4,0,4,0,0,0,0,0,0,0
56,2020-03-04,US_NY,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,16.0,0.0,3.0,0.0,6.0,0.0,,,4,3,2,3,4,0,4,0,0,0,0,0,0,0
57,2020-03-04,US_OR,3.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,57.0,6.0,1.0,-1.0,3.0,0.0,2.0,2.0,4,4,4,4,4,0,4,0,0,0,0,0,0,0
58,2020-03-04,US_RI,6.1,17.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,21.0,-1.0,1.0,-1.0,0.0,0.0,3.0,3.0,4,3,3,3,4,0,0,0,0,0,0,0,0,0
59,2020-03-04,US_SC,12.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,-11.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,4,3,1,4,4,1,0,0,0,0,0,0,0,0
60,2020-03-04,US_TX,10.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-10.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,4,3,1,3,4,1,4,0,0,0,0,0,0,0
61,2020-03-04,US_WA,-2.0,1.8,14.0,3.0,1.0,59.0,11.0,4.0,5.0,9.0,56.0,-2.0,-2.0,0.0,0.3103448275862069,0.14285714285714285,1.0,0.0,3,4,4,3,3,0,4,0,0,0,0,0,0,2
62,2020-03-04,US_WI,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,26.0,5.0,2.0,-1.0,1.0,0.0,,,4,3,3,4,4,0,4,0,0,0,0,0,0,0
63,2020-03-05,US_AZ,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,22.0,5.0,2.0,-1.0,0.0,0.0,,,4,3,3,4,4,0,0,0,0,0,0,0,0,0
64,2020-03-05,US_CA,6.7,26.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,-1.0,2.0,0.0,0.0,0.0,3.0,4.0,3,3,2,3,4,0,0,0,0,0,0,0,0,0
65,2020-03-05,US_CO,-11.1,11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,33.0,0.0,2.0,-1.0,0.0,0.0,0.0,1.0,4,4,3,3,4,0,0,0,0,0,0,0,0,0
66,2020-03-05,US_DC,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,,,4,3,2,4,4,0,0,0,0,0,0,0,0,0
67,2020-03-05,US_FL,18.9,31.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,2.0,1.0,0.0,3.5,0.0,4.0,4.0,3,3,2,4,4,0,4,0,0,0,0,0,0,0
68,2020-03-05,US_GA,9.4,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-30.0,-1.0,-1.0,2.0,0.0,0.0,4.0,1.0,3,2,0,3,3,1,0,0,0,0,0,0,0,0
69,2020-03-05,US_IL,2.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,21.0,2.0,3.0,-1.0,0.25,0.0,2.0,1.0,4,3,3,4,4,0,3,0,0,0,0,0,0,0
70,2020-03-05,US_MD,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,29.0,1.0,3.0,-1.0,0.0,0.0,,,4,3,3,3,4,0,0,0,0,0,0,0,0,0
71,2020-03-05,US_MI,-6.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,20.0,9.0,1.0,-1.0,0.38461538461538464,0.0,0.0,0.0,4,3,2,4,4,0,4,0,0,0,0,0,0,0
72,2020-03-05,US_NC,7.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,-4.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,4,3,1,4,4,0,0,0,0,0,0,0,0,0
73,2020-03-05,US_NE,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,23.0,8.0,1.0,-1.0,0.0,0.0,1.0,1.0,4,3,3,4,4,0,0,0,0,0,0,0,0,0
74,2020-03-05,US_NH,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,25.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,4,3,3,4,4,0,0,0,0,0,0,0,0,0
75,2020-03-05,US_NJ,0.6,13.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,39.0,3.0,2.0,-1.0,1.0,0.0,2.0,2.0,4,4,3,4,4,0,4,0,0,0,0,0,0,0
76,2020-03-05,US_NV,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,13.0,1.0,1.0,-1.0,1.0,0.0,1.0,3.0,4,4,2,3,4,0,4,0,0,0,0,0,0,0
77,2020-03-05,US_NY,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,21.0,0.0,4.0,-1.0,2.6666666666666665,0.0,,,4,4,3,3,4,0,4,0,0,0,0,0,0,0
78,2020-03-05,US_OH,-4.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,51.0,8.0,2.0,-1.0,0.0,0.0,0.0,1.0,4,3,4,4,4,0,0,0,0,0,0,0,0,0
79,2020-03-05,US_OR,2.2,18.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,38.0,4.0,1.0,-1.0,0.0,0.0,2.0,3.0,4,3,3,4,4,0,0,0,0,0,0,0,0,0
80,2020-03-05,US_RI,1.7,11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,54.0,4.0,2.0,-1.0,0.0,0.0,2.0,1.0,4,3,4,4,4,0,0,0,0,0,0,0,0,0
81,2020-03-05,US_SC,9.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-25.0,2.0,-1.0,3.0,0.0,0.0,4.0,2.0,3,2,0,4,3,1,0,0,0,0,0,0,0,0
82,2020-03-05,US_TN,5.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,33.0,7.0,1.0,-2.0,1.0,0.0,3.0,3.0,4,4,3,4,4,0,4,0,0,0,0,0,0,0
83,2020-03-05,US_TX,7.8,22.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,34.0,5.0,3.0,-2.0,0.0,0.0,3.0,4.0,4,3,3,4,4,0,0,0,0,0,0,0,0,0
84,2020-03-05,US_VA,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,19.0,4.0,2.0,-1.0,0.0,0.0,,,4,3,2,4,4,0,0,0,0,0,0,0,0,0
85,2020-03-05,US_WA,-1.2,4.6,17.0,3.0,1.0,76.0,14.0,5.0,2.0,7.0,21.0,-8.0,-6.0,2.0,0.27631578947368424,0.25,1.0,0.0,3,3,3,3,3,1,4,0,0,0,0,0,0,3
86,2020-03-05,US_WI,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0,,,3,3,2,4,4,0,0,0,0,0,0,0,0,0
87,2020-03-06,US_AK,-26.7,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,4,3,2,4,3,1,0,0,0,0,0,0,0,0
88,2020-03-06,US_AR,6.1,22.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,73.0,6.0,3.0,-2.0,0.0,0.0,3.0,4.0,4,3,4,4,4,0,0,0,0,0,0,0,0,0
89,2020-03-06,US_AZ,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,20.0,8.0,1.0,-1.0,0.5,0.0,,,4,3,2,4,4,0,4,0,0,0,0,0,0,0
90,2020-03-06,US_CA,7.8,26.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,-4.0,2.0,0.0,0.1320754716981132,0.0,3.0,4.0,3,3,2,3,4,0,3,0,0,0,0,0,0,0
91,2020-03-06,US_CO,-8.9,12.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,39.0,1.0,2.0,-1.0,2.0,0.0,0.0,2.0,4,4,3,3,4,0,4,0,0,0,0,0,0,0
92,2020-03-06,US_DC,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-6.0,1.0,0.0,1.0,0.0,0.0,,,3,2,1,3,3,1,0,0,0,0,0,0,0,0
93,2020-03-06,US_DE,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-18.0,-1.0,1.0,1.0,0.0,0.0,,,3,2,0,3,4,1,0,0,0,0,0,0,0,0
94,2020-03-06,US_FL,18.3,32.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,-1.0,1.0,0.0,0.0,0.0,4.0,4.0,3,3,2,3,4,0,0,0,0,0,0,0,0,0
95,2020-03-06,US_GA,5.6,17.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,44.0,5.0,1.0,-2.0,0.0,0.0,3.0,3.0,4,3,4,4,4,0,0,0,0,0,0,0,0,0
96,2020-03-06,US_IA,-4.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,47.0,14.0,6.0,-4.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0,0,0,0,0,0,0,0,0
97,2020-03-06,US_IL,-0.6,13.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,17.0,4.0,2.0,-1.0,0.0,0.0,1.0,2.0,4,3,2,4,4,0,0,0,0,0,0,0,0,0
98,2020-03-06,US_IN,-2.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,3,2,2,4,4,0,4,0,0,0,0,0,0,0
99,2020-03-06,US_KS,-4.4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,87.0,16.0,7.0,-5.0,0.0,0.0,0.0,2.0,4,3,4,4,4,0,0,0,0,0,0,0,0,0
100,2020-03-06,US_KY,0.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3,3,2,4,4,0,0,0,0,0,0,0,0,0
101,2020-03-06,US_MD,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-3.0,2.0,1.0,3.0,0.0,,,3,2,1,3,4,1,4,0,0,0,0,0,0,0
102,2020-03-06,US_MI,-4.4,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,0.0,7.0,0.0,1.0,0.3611111111111111,0.0,0.0,0.0,3,2,1,4,3,1,4,0,0,0,0,0,0,0
103,2020-03-06,US_MN,-7.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,4,3,2,4,3,0,0,0,0,0,0,0,0,0
104,2020-03-06,US_NC,1.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,19.0,6.0,2.0,-1.0,1.0,0.0,2.0,1.0,4,3,2,4,4,0,4,0,0,0,0,0,0,0
105,2020-03-06,US_NE,-4.4,12.2,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,51.0,14.0,1.0,-2.0,0.0,0.0,0.0,1.0,4,4,4,4,4,0,0,0,0,0,0,0,0,0
106,2020-03-06,US_NH,-5.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3,2,1,4,4,1,0,0,0,0,0,0,0,0
