Details,Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
"",YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,orf1ab polyprotein,China,Homo sapiens,,2019-12,,orf1ab polyprotein [Wuhan seafood market pneumonia virus]
"",YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,ORF10 protein,China,Homo sapiens,,2019-12,,ORF10 protein [Wuhan seafood market pneumonia virus]
"",YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,,,,orf1a polyprotein,China,Homo sapiens,,2019-12,,orf1a polyprotein [Wuhan seafood market pneumonia virus]
"",YP_009725296,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,43,,,,ORF7b,China,Homo sapiens,,2019-12,,ORF7b [Wuhan seafood market pneumonia virus]
"",YP_009724390,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,surface glycoprotein,China,Homo sapiens,,2019-12,,surface glycoprotein [Wuhan seafood market pneumonia virus]
"",YP_009724391,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,ORF3a protein,China,Homo sapiens,,2019-12,,ORF3a protein [Wuhan seafood market pneumonia virus]
"",YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,envelope protein,China,Homo sapiens,,2019-12,,envelope protein [Wuhan seafood market pneumonia virus]
"",YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,membrane glycoprotein,China,Homo sapiens,,2019-12,,membrane glycoprotein [Wuhan seafood market pneumonia virus]
"",YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,ORF6 protein,China,Homo sapiens,,2019-12,,ORF6 protein [Wuhan seafood market pneumonia virus]
"",YP_009724395,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF7a protein,China,Homo sapiens,,2019-12,,ORF7a protein [Wuhan seafood market pneumonia virus]
"",YP_009724396,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,ORF8 protein,China,Homo sapiens,,2019-12,,ORF8 protein [Wuhan seafood market pneumonia virus]
"",YP_009724397,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,nucleocapsid phosphoprotein,China,Homo sapiens,,2019-12,,nucleocapsid phosphoprotein [Wuhan seafood market pneumonia virus]
"",YP_009725297,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,180,,,,leader protein,China,Homo sapiens,,2019-12,,leader protein [Wuhan seafood market pneumonia virus]
